,level_model,level_pvalues,lag_model,lag_pvalues
const,13035.1164791862,5.44589254957869e-56,13069.93221482716,4.060443465913252e-55
unrate,-567.8426886335326,2.2114897270310315e-06,-534.3630403621704,0.153883012482955
unrate_lag1,,,-36.94619963827324,0.9214445641738179
